0x1b48,RESULT,RESULT
0x1b4f,DIFFICULTY,DIFFICULTY
0x1b5a,VERY EASY,VERY EASY
0x1b64,EASY,EASY
0x1b69,NORMAL,NORMAL
0x1b70,HARD,HARD
0x1b75,EXTREME,EXTREME
0x1b7d,PLAY TIME,PLAY TIME
0x1b87,SAVE,SAVE
0x1b8c,TIMES,TIMES
0x1b92,CONTINUE,CONTINUE
0x1b9b,TIMES,TIMES
0x1ba1,ALERT MODE,ALERT MODE
0x1bac,TIMES,TIMES
0x1bb2,HUMANS KILLED,HUMANS KILLED
0x1bc0,PEOPLE,PEOPLE
0x1bc7,SERIOUSLY INJURED,SERIOUSLY INJURED
0x1bd9,TIMES,TIMES
0x1bdf,TOTAL DAMAGE,TOTAL DAMAGE
0x1bec,LIFE BARS,LIFE BARS
0x1bf6,LIFE MEDICINE USED,LIFE MEDICINE USED
0x1c09,TIMES,TIMES
0x1c0f,PLANTS & ANIMALS CAPTURED,PLANTS & ANIMALS CAPTURED
0x1c29,KINDS,KINDS
0x1c2f,MEALS EATEN,MEALS EATEN
0x1c3b,MEALS,MEALS
0x1c41,SPECIAL ITEM,SPECIAL ITEM
0x1c4e,NOT USED,NOT USED
0x1c57,EZ GUN,EZ GUN
0x1c5e,INFINITY FACE PAINT,INFINITY FACE PAINT
0x1c72,STEALTH CAMO,STEALTH CAMO
0x1c7f,YOUR TITLE IS...,YOUR TITLE IS...
0x1c90,APPROVED BY,APPROVED BY
0x1c9c,SINGLE ACTION ARMY,SINGLE ACTION ARMY
0x1caf,PATRIOT,PATRIOT
0x1cb7,EZ GUN,EZ GUN
0x1cbe,CAMERA,CAMERA
0x1cc5,MONKEY MASK,MONKEY MASK
0x1cd1,STEALTH,STEALTH
0x1cd9,GREEN FACE PAINT,GREEN FACE PAINT
0x1cea,BROWN FACE PAINT,BROWN FACE PAINT
0x1cfb,INFINITY FACE PAINT,INFINITY FACE PAINT
0x1d0f,TUXEDO,TUXEDO
0x1d16,BANANA CAMO,BANANA CAMO
0x1d22,DPM CAMO,DPM CAMO
0x1d2b,AUSCAM DESERT CAMO,AUSCAM DESERT CAMO
0x1d3e,DESERT TIGER CAMO,DESERT TIGER CAMO
0x1d50,FLECKTARN CAMO,FLECKTARN CAMO
0x1d5f,NATIONAL FLAG FACE PAINTS,NATIONAL FLAG FACE PAINTS
0x1d79,"シングルアクションアーミー(WEAPON)を|
入手しました。","シングルアクションアーミー(WEAPON)を|
入手しました。"
0x1dc9,"パトリオット(WEAPON)を入手しました。|
","パトリオット(WEAPON)を入手しました。|
"
0x1e04,"EZ　GUN(WEAPON)を入手しました。|
","EZ　GUN(WEAPON)を入手しました。|
"
0x1e32,"カメラ(ITEM)を入手しました。|
","カメラ(ITEM)を入手しました。|
"
0x1e5f,"お面(ITEM)を入手しました。|
MGS3本編で使用することができます。","お面(ITEM)を入手しました。|
MGS3本編で使用することができます。"
0x1ebd,"ステルス迷彩(ITEM)を入手しました。|
","ステルス迷彩(ITEM)を入手しました。|
"
0x1ef3,"グリーン(FACE)を入手しました。|
","グリーン(FACE)を入手しました。|
"
0x1f23,"ブラウン(FACE)を入手しました。|
","ブラウン(FACE)を入手しました。|
"
0x1f53,"無限(FACE)を入手しました。|
","無限(FACE)を入手しました。|
"
0x1f7d,"夕キシード(UNIFORM)を入手しました。|
","夕キシード(UNIFORM)を入手しました。|
"
0x1fb3,"バナナ迷彩(UNIFORM)を入手しました。|
MGS3本編で使用することができます。","バナナ迷彩(UNIFORM)を入手しました。|
MGS3本編で使用することができます。"
0x201d,"DPM迷彩(UNIFORM)を入手しました。|
","DPM迷彩(UNIFORM)を入手しました。|
"
0x204d,"AUSCAMデザート迷彩(UNIFORM)を|
入手しました。","AUSCAMデザート迷彩(UNIFORM)を|
入手しました。"
0x208c,"デザート夕イガー迷彩(UNIFORM)を|
入手しました。","デザート夕イガー迷彩(UNIFORM)を|
入手しました。"
0x20d1,"フレク夕ー迷彩(UNIFORM)を入手しました。|
","フレク夕ー迷彩(UNIFORM)を入手しました。|
"
0x210d,"万国旗(FACE)を入手しました。|
","万国旗(FACE)を入手しました。|
"
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
