0x1d44,SINGLE ACTION ARMY,SINGLE ACTION ARMY
0x1d57,PATRIOT,PATRIOT
0x1d5f,EZ GUN,EZ GUN
0x1d66,CAMERA,CAMERA
0x1d6d,MONKEY MASK,MONKEY MASK
0x1d79,STEALTH,STEALTH
0x1d81,GREEN FACE PAINT,GREEN FACE PAINT
0x1d92,BROWN FACE PAINT,BROWN FACE PAINT
0x1da3,INFINITY FACE PAINT,INFINITY FACE PAINT
0x1db7,TUXEDO,TUXEDO
0x1dbe,BANANA CAMO,BANANA CAMO
0x1dca,DPM CAMO,DPM CAMO
0x1dd3,AUSCAM DESERT CAMO,AUSCAM DESERT CAMO
0x1de6,DESERT TIGER CAMO,DESERT TIGER CAMO
0x1df8,FLECKTARN CAMO,FLECKTARN CAMO
0x1e07,NATIONAL FLAG FACE PAINTS,NATIONAL FLAG FACE PAINTS
0x1e21,"シングルアクションアーミー(WEAPON)を|
入手しました。","シングルアクションアーミー(WEAPON)を|
入手しました。"
0x1e71,"パトリオット(WEAPON)を入手しました。|
","パトリオット(WEAPON)を入手しました。|
"
0x1eac,"EZ　GUN(WEAPON)を入手しました。|
","EZ　GUN(WEAPON)を入手しました。|
"
0x1eda,"カメラ(ITEM)を入手しました。|
","カメラ(ITEM)を入手しました。|
"
0x1f07,"お面(ITEM)を入手しました。|
MGS3本編で使用することができます。","お面(ITEM)を入手しました。|
MGS3本編で使用することができます。"
0x1f65,"ステルス迷彩(ITEM)を入手しました。|
","ステルス迷彩(ITEM)を入手しました。|
"
0x1f9b,"グリーン(FACE)を入手しました。|
","グリーン(FACE)を入手しました。|
"
0x1fcb,"ブラウン(FACE)を入手しました。|
","ブラウン(FACE)を入手しました。|
"
0x1ffb,"無限(FACE)を入手しました。|
","無限(FACE)を入手しました。|
"
0x2025,"夕キシード(UNIFORM)を入手しました。|
","夕キシード(UNIFORM)を入手しました。|
"
0x205b,"バナナ迷彩(UNIFORM)を入手しました。|
MGS3本編で使用することができます。","バナナ迷彩(UNIFORM)を入手しました。|
MGS3本編で使用することができます。"
0x20c5,"DPM迷彩(UNIFORM)を入手しました。|
","DPM迷彩(UNIFORM)を入手しました。|
"
0x20f5,"AUSCAMデザート迷彩(UNIFORM)を|
入手しました。","AUSCAMデザート迷彩(UNIFORM)を|
入手しました。"
0x2134,"デザート夕イガー迷彩(UNIFORM)を|
入手しました。","デザート夕イガー迷彩(UNIFORM)を|
入手しました。"
0x2179,"フレク夕ー迷彩(UNIFORM)を入手しました。|
","フレク夕ー迷彩(UNIFORM)を入手しました。|
"
0x21b5,"万国旗(FACE)を入手しました。|
","万国旗(FACE)を入手しました。|
"
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
