relative_csv_path,csv_sha1,relative_sdt_path,sdt_sha1,hex_values
fr/codec/_bp/1_1_banks_drifted_t_v100_020_r010_radio_demo.csv,edeb514759cd8f00a8db9d8bb0faad47d7b119d0,fr/codec/_bp/1_1_banks_drifted_t_v100_020_r010_radio_demo.sdt,882e0c0674110ff0f22f5d9e1cb0cecd9a734088,"[0xc4,0x14f,0x1db,0x25a,0x2fb,0x397,0x422,0x4ae,0x52d,0x5ce,0x659,0x6e5,0x764,0x7ef,0x87b,0x906,0x988,0xa15,0xad4,0xb5f,0xbe1,0xc6e,0xcf9,0xd7b,0xe06,0xe1f,0xe35,0xe7f,0xe80,0xeb8,0xeea,0xf2b,0xf30,0xf80,0xfa3,0xfe8,0xff9,0x1011,0x1025,0x107d,0x107e,0x10b1,0x10e7,0x1129,0x112e,0x118a,0x11bd,0x1202]"
fr/codec/_bp/1_1_enemy_reconnaissance_t_v050_020_r010_radio_demo.csv,e753039a7e35edd51daac61dcf5381fbafd241d0,fr/codec/_bp/1_1_enemy_reconnaissance_t_v050_020_r010_radio_demo.sdt,db5993e378387fd224955f6b1795c11f40f04608,"[0x70,0xfb,0x187,0x206,0x2a7,0x343,0x3ce,0x45a,0x4d9,0x57a,0x605,0x691,0x710,0x79b,0x827,0x8ad,0x933,0x9bb,0xa12,0xa6c,0xae6,0xb48,0xb91,0xbf8,0xc54,0xcd7,0xd50]"
fr/codec/_bp/1_2_banks_free_movie_castaway_t_v100_020_r010_radio.csv,76ae4037f3097940cc0542ca5384ae4c4d5049be,fr/codec/_bp/1_2_banks_free_movie_castaway_t_v100_020_r010_radio.sdt,47b14def2e796c756c0677265f8a3a2b77fcfa78,"[0x9c,0x127,0x1a9,0x236,0x2f5,0x380,0x402,0x48f,0x51a,0x59c,0x627,0x65f,0x692,0x6e1,0x719,0x792,0x7c3,0x81a,0x843,0x8bc,0x900,0x97b,0x9d3,0xa16,0xa5b,0xaaa,0xada,0xb3e,0xb7b,0xc08,0xc45,0xcb3,0xce2,0xd73,0xdd4,0xe54,0xee7,0xf3f]"
fr/codec/_bp/1_2_enemy_reconnaissance_t_v050_020_r010_wireless_demo_movie.csv,8ab9b90c28fa99b09c2f5c9775585c1dbf6a0f78,fr/codec/_bp/1_2_enemy_reconnaissance_t_v050_020_r010_wireless_demo_movie.sdt,72505ff7a8050e7ed9d6697306ffc2696e1dbfda,"[0x28,0xae,0x134,0x1bc,0x208,0x273,0x2df,0x334,0x3a9]"
fr/codec/_bp/1_2_free_wireless_intrusion_t_m200_010_r010_moss_jungle_movie.csv,3f8095890d436d7bcb33e42e99ebf58a26d34a5d,fr/codec/_bp/1_2_free_wireless_intrusion_t_m200_010_r010_moss_jungle_movie.sdt,c3633438bf63e6763f06ce7786250f0d1adcfc77,"[0x3c,0xbf,0x13e,0x1d1,0x26b,0x2ee,0x36d,0x400,0x483,0x502,0x585,0x5d7,0x5fa,0x659]"
fr/codec/_bp/1_3_banks_drifted_t_v100_020_r010_radio_demo.csv,578cc826e1a6e098e29cd5e3179f73cb04fa7be9,fr/codec/_bp/1_3_banks_drifted_t_v100_020_r010_radio_demo.sdt,2514ac900aaf969750c3916c0133614f6bd9603b,"[0x44,0xcf,0x151,0x1de,0x29d,0x328,0x3aa,0x437,0x4c2,0x544,0x5cf,0x5dc,0x5e5,0x628,0x638,0x642]"
fr/codec/_bp/1_3_enemy_reconnaissance_t_v050_020_r010_wireless_demo_movie.csv,0d629d62f921410f3e1fa02f65e65c234ce1422b,fr/codec/_bp/1_3_enemy_reconnaissance_t_v050_020_r010_wireless_demo_movie.sdt,e7c2c60374398b6ecb06f5749563aeb23cfce144,"[0x28,0xae,0x134,0x1bc,0x207,0x257,0x2a8,0x2eb,0x347]"
fr/codec/_bp/1_4_enemy_reconnaissance_t_v050_020_r010_wireless_demo_movie.csv,8bfe65a7bd8ed085d37deabc45261ef1e00b7ce8,fr/codec/_bp/1_4_enemy_reconnaissance_t_v050_020_r010_wireless_demo_movie.sdt,6bf0e01430c133dcd47df3ba96e88a50a28214ff,"[0x30,0xb6,0x13c,0x1c4,0x210,0x26c,0x2af,0x304,0x36a,0x3b6,0x409]"
fr/codec/_bp/1_after_confluence_t_mm_eva_ever_go_underground_bunker.csv,ea2f64ff9f9347bc8990dde6dda49dddeb348bda,fr/codec/_bp/1_after_confluence_t_mm_eva_ever_go_underground_bunker.sdt,54ef033c5a491dffa35f3f93fc5e03f7e269f664,"[0xb4,0x13f,0x1cb,0x24a,0x2eb,0x387,0x412,0x49e,0x51d,0x5be,0x649,0x6d5,0x754,0x7df,0x86b,0x87c,0x883,0x8b3,0x8c4,0x8d4,0x8f1,0x928,0x931,0x93f,0x954,0x961,0x97e,0x983,0x9a0,0x9a5,0x9bd,0x9c4,0x9e5,0x9f9,0xa0a,0xa30,0xa5c,0xa66,0xa7f,0xa90,0xa9f,0xabe,0xac3,0xae2]"
fr/codec/_bp/1_against_base_t_mm_fear.csv,1cb0c63848c3d80ef4401d8b802ea3466b30eb08,fr/codec/_bp/1_against_base_t_mm_fear.sdt,79d8e8a3b8825a09d1fd146361608e08612b737c,"[0x5c,0xe7,0x173,0x1f2,0x293,0x32f,0x3ba,0x446,0x4c5,0x566,0x5f1,0x67d,0x6fc,0x787,0x813,0x85e,0x8ac,0x8ff,0x92d,0x97a,0x9c8,0xa36]"
fr/codec/_bp/1_against_base_t_mm_ocelot.csv,24eee87a4f3fb75da081de140ee603a59839c877,fr/codec/_bp/1_against_base_t_mm_ocelot.sdt,07fdc567fe01fdfa84bdf358c6ebc2a879d1afa3,"[0x4c,0xd7,0x163,0x1e2,0x283,0x31f,0x3aa,0x436,0x4b5,0x556,0x5e1,0x66d,0x6ec,0x777,0x803,0x84b,0x8c4,0x913]"
fr/codec/_bp/1_against_base_t_mm_oosa.csv,b63c950312b37b14303b50abd70fe10528e550d0,fr/codec/_bp/1_against_base_t_mm_oosa.sdt,2b75c3c283d07eed3ff493b5a66d1f99a11c6b21,"[0x6c,0xf7,0x183,0x202,0x2a3,0x33f,0x3ca,0x456,0x4d5,0x576,0x601,0x68d,0x70c,0x797,0x823,0x85a,0x8ca,0x917,0x980,0x9c8,0xa18,0xa54,0xade,0xb39,0xba0,0xbed]"
fr/codec/_bp/1_against_chaff_t_ms_oosa.csv,f2de34c3431581456665054562544e5d7d26df4b,fr/codec/_bp/1_against_chaff_t_ms_oosa.sdt,f6c6bd1e5a65fdf1db6f557156c93b1762ba499c,"[0x3c,0xc6,0x138,0x1e3,0x27c,0x306,0x378,0x423,0x4ad,0x51f,0x5a9,0x5cc,0x632,0x65f]"
fr/codec/_bp/1_against_ocelot_t_me.csv,ac651f3a4908c81fa4a0677212728a93ca5a2947,fr/codec/_bp/1_against_ocelot_t_me.sdt,a179337f7f156a5db78e007e76239749ee5ac7f8,"[0x3c,0xbf,0x13e,0x1d1,0x26b,0x2ee,0x36d,0x400,0x483,0x502,0x585,0x5ff,0x677,0x71b]"
