0x20c4,SINGLE ACTION ARMY,SINGLE ACTION ARMY
0x20d7,PATRIOT,PATRIOT
0x20df,PISTOLA EZ,PISTOLA EZ
0x20ea,FOTOCAMERA,FOTOCAMERA
0x20f5,MASCHERA DA SCIMMIA,MASCHERA DA SCIMMIA
0x2109,MIMETICA OTTICA,MIMETICA OTTICA
0x2119,VERDE,VERDE
0x211f,MARRONE,MARRONE
0x2127,INFINITO,INFINITO
0x2130,SMOKING,SMOKING
0x2138,BANANE,BANANE
0x213f,DPM,DPM
0x2143,DESIERTO AUSCAM,DESIERTO AUSCAM
0x2153,TIGRE DEL DESERTO,TIGRE DEL DESERTO
0x2165,FLECKTARN,FLECKTARN
0x216f,PITTURA FACCIALE BANDIERA NAZIONALE,PITTURA FACCIALE BANDIERA NAZIONALE
0x2193,"Hai una Single Action Army.|
","Hai una Single Action Army.|
"
0x21b1,"Hai una Patriot.|
","Hai una Patriot.|
"
0x21c4,"Hai una PISTOLA EZ.|
","Hai una PISTOLA EZ.|
"
0x21da,"Hai una fotocamera.|
","Hai una fotocamera.|
"
0x21f0,"Hai una maschera da scimmia.|
Si può usare in MGS3.","Hai una maschera da scimmia.|
Si può usare in MGS3."
0x2225,"Hai una mimetica ottica.|
","Hai una mimetica ottica.|
"
0x2240,"Hai la pittura facciale verde.|
Si può usare in MGS3.","Hai la pittura facciale verde.|
Si può usare in MGS3."
0x2277,"Hai la pittura facciale marrone.|
","Hai la pittura facciale marrone.|
"
0x229a,"Hai la pittura facciale Infinito.|
","Hai la pittura facciale Infinito.|
"
0x22be,"Hai uno smoking.|
","Hai uno smoking.|
"
0x22d1,"Hai la mimetica con disegni di banane.|
Si può usare in MGS3.","Hai la mimetica con disegni di banane.|
Si può usare in MGS3."
0x2310,"Hai la mimetica DPM.|
Si può usare in MGS3.","Hai la mimetica DPM.|
Si può usare in MGS3."
0x233d,"Hai la mimetica con motivi deserto AUSCAM.|
","Hai la mimetica con motivi deserto AUSCAM.|
"
0x236a,"Hai la mimetica tigre del deserto.|
","Hai la mimetica tigre del deserto.|
"
0x238f,"Hai la mimetica flecktarn.|
","Hai la mimetica flecktarn.|
"
0x23ac,"Hai la pittura facciale|
bandiera nazionale.","Hai la pittura facciale|
bandiera nazionale."
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
