filename,before_hash,ctxr_hash,mipmaps,origin_folder,opacity_stripped,upscaled,upscaler_version,upscaler_type,non_upscaled_version,ctxr3_converted,npot_resized,dxt5
e02_1.bmp,968d83b4d3a006f1eee46b3046d7fca5c99cf25f,1797fac91111785a74350e3ec65b30206742cc9b,true,Self Remade\Finalized\Posters\MC - Vanilla\ovr_eu,true,true,5,remarci_4x,0,false,false,false
e02_2.bmp_75c18656e1070488b65f4ef3c5459c6a,96be59ca4f962314e732f33fa9573dd664ae26b2,682d75ec9aaf6cab4fa0ca6d7a2f88ab863d60a5,true,Self Remade\Finalized\Posters\MC - Vanilla\ovr_eu,true,true,5,remarci_4x,0,false,false,false
e02_3.bmp_9f9413fdf4806383d89d42846a722a3f,acf3bccef14666fa2b4c3d3d0c52a21893c78827,eadfe321b6f018d284393d4997366e7157701e7c,true,Self Remade\Finalized\Posters\MC - Vanilla\ovr_eu,true,true,5,remarci_4x,0,false,false,false
e02_4.bmp_e98df2b1939851f47c8a6c28ea1d4cda,0dae4a9862ecb04b50f4afa1cafe62616356d743,56b63e3597b23f0a1d5584ec61292fb424e9bbd8,true,Self Remade\Finalized\Posters\MC - Vanilla\ovr_eu,true,true,5,remarci_4x,0,false,false,false
e04_1.bmp,55128b0b2a800c9ae94e7670da6255e903fd4198,db3a8de9dd0f306984aec843f1b73019c93c470a,true,Self Remade\Finalized\Posters\MC - Vanilla\ovr_eu,true,true,5,remarci_4x,0,false,false,false
e04_2.bmp_04dda450a93965ec055c9b3e101e099b,d7befd1e778e3203207e706c134f81a7226118c2,b5ba6adaa3ad613d188ada039b91a4d89a0ba19d,true,Self Remade\Finalized\Posters\MC - Vanilla\ovr_eu,true,true,5,remarci_4x,0,false,false,false
e04_3.bmp_6e40581365c7129ba9808c175223db1c,b00946456739446d0ef94f77aa583194748114ef,7b14f872db3e9ee6dc24c6598bef84a261617e53,true,Self Remade\Finalized\Posters\MC - Vanilla\ovr_eu,true,true,5,remarci_4x,0,false,false,false
e04_4.bmp_8c6cd8cff37073ad12c3337cfc6743c9,bd08e0eb4811259d0579d3577d3384ba2d2849cc,a1925886a2b97419c6ab4392a1fb2b7352860ce6,true,Self Remade\Finalized\Posters\MC - Vanilla\ovr_eu,true,true,5,remarci_4x,0,false,false,false
j04_1.bmp,d68fa4843aedf903cb039242c65977cc747d0b57,359067213ae9e153db220382f385da59177b9973,true,Self Remade\Finalized\Posters\MC - Vanilla\ovr_eu,true,true,5,remarci_4x,0,false,false,false
j04_2.bmp,ed44836a0d688f560c12c71172f81d6306906474,ebb6d79ede200e5b81cf8297477c56105467ee1d,true,Self Remade\Finalized\Posters\MC - Vanilla\ovr_eu,true,true,5,remarci_4x,0,false,false,false
j04_3.bmp,3e13127689de31babd9f9f2132804583be1c5117,f0dccc489d898210b898d95054098d1af162c031,true,Self Remade\Finalized\Posters\MC - Vanilla\ovr_eu,true,true,5,remarci_4x,0,false,false,false
j04_4.bmp,e3eb3facb02ccfacd76b7a7e0122b577b5d48fb3,47bf4cb90cd67a813bc2e39f3f8d4d9bed2e15b6,true,Self Remade\Finalized\Posters\MC - Vanilla\ovr_eu,true,true,5,remarci_4x,0,false,false,false
j06_1.bmp,78d4151fd6b0b05a92891d434d5e6d64080d708d,be7c7263345fd897edfc7f7082f4c1c6f3afc4bf,true,Self Remade\Finalized\Posters\MC - Vanilla\ovr_eu,true,true,5,remarci_4x,0,false,false,false
j06_2.bmp,fe852a8127c4e9cfe86271d7416861d81af97a84,ac15343c3dc0591c2c8ffe438ca4eb286a39da85,true,Self Remade\Finalized\Posters\MC - Vanilla\ovr_eu,true,true,5,remarci_4x,0,false,false,false
j06_3.bmp,72c4fba4f2e2ee9d42a6b6ddf38b25f44dfb9d55,f3b6078537f872fe1b5965ebd71960d53688610b,true,Self Remade\Finalized\Posters\MC - Vanilla\ovr_eu,true,true,5,remarci_4x,0,false,false,false
j06_4.bmp,f3a21431d15deb01b522b7a452bb8bf0b4acd57b,53cc81b700d7b1ba8e58ba8ff3ede8f48e12411a,true,Self Remade\Finalized\Posters\MC - Vanilla\ovr_eu,true,true,5,remarci_4x,0,false,false,false
j07_1.bmp,e88dac8885906c0e807c07c5dbc48ee61627a9c4,6630af51ee8c43fa32c1c61c1904432f7d1f9e04,true,Self Remade\Finalized\Posters\MC - Vanilla\ovr_eu,true,true,5,remarci_4x,0,false,false,false
j07_2.bmp,8fdcd29186d46fcbce57d1331b8d9ef0e5e8554c,d5d8af473421435f36f1eaf6ddaf39659006831d,true,Self Remade\Finalized\Posters\MC - Vanilla\ovr_eu,true,true,5,remarci_4x,0,false,false,false
j07_3.bmp,86246ac4aa33eb116c77805c77fe511f02ff1600,9ed06ffbb1778f368a149dbda163cc90f55b04bf,true,Self Remade\Finalized\Posters\MC - Vanilla\ovr_eu,true,true,5,remarci_4x,0,false,false,false
j07_4.bmp,f8c919cec4c3546bda59d3b22b9186b95abc1518,5e08b1370d3e0aefd66284acf3c48e3e08680b76,true,Self Remade\Finalized\Posters\MC - Vanilla\ovr_eu,true,true,5,remarci_4x,0,false,false,false
j09_1.bmp,78d4151fd6b0b05a92891d434d5e6d64080d708d,be7c7263345fd897edfc7f7082f4c1c6f3afc4bf,true,Self Remade\Finalized\Posters\MC - Vanilla\ovr_eu,true,true,5,remarci_4x,0,false,false,false
j09_2.bmp,fe852a8127c4e9cfe86271d7416861d81af97a84,ac15343c3dc0591c2c8ffe438ca4eb286a39da85,true,Self Remade\Finalized\Posters\MC - Vanilla\ovr_eu,true,true,5,remarci_4x,0,false,false,false
j09_3.bmp,72c4fba4f2e2ee9d42a6b6ddf38b25f44dfb9d55,f3b6078537f872fe1b5965ebd71960d53688610b,true,Self Remade\Finalized\Posters\MC - Vanilla\ovr_eu,true,true,5,remarci_4x,0,false,false,false
j09_4.bmp,f3a21431d15deb01b522b7a452bb8bf0b4acd57b,53cc81b700d7b1ba8e58ba8ff3ede8f48e12411a,true,Self Remade\Finalized\Posters\MC - Vanilla\ovr_eu,true,true,5,remarci_4x,0,false,false,false
j10_1.bmp,ab59ec46f490c321b01d679df1b15c86b55e6ac9,9786cddfaf341a24ed1b69b78c939bbe71c7c20c,true,Self Remade\Finalized\Posters\MC - Vanilla\ovr_eu,true,true,5,remarci_4x,0,false,false,false
j10_2.bmp,1088db90c9247b7860209b8e1ad11888b188eb57,4da549d3fbb2320f917911c94662d01d5c55335c,true,Self Remade\Finalized\Posters\MC - Vanilla\ovr_eu,true,true,5,remarci_4x,0,false,false,false
j10_3.bmp,bc638d2662a42a3189f799bc01a070631aa2099b,1e8e9c29fdaab10342f783130f94fc0fe9e27aa9,true,Self Remade\Finalized\Posters\MC - Vanilla\ovr_eu,true,true,5,remarci_4x,0,false,false,false
j10_4.bmp,b68a1efa9eb10e20b139973a9cb891aca63030a7,ab0339a1115ec41bc5681730dfc5d3635e997fc6,true,Self Remade\Finalized\Posters\MC - Vanilla\ovr_eu,true,true,5,remarci_4x,0,false,false,false
sna_def_olive.bmp_250c64d61d6d43eebe785ba570084310,2b1103fe94457be569cbb561277a30d0729b0fee,cbbc9880020945b82cf4e8e7b1fe253edbc577af,true,Self Remade\Finalized - HighRes,true,true,5,remarci_4x,0,false,false,false
