0x78,"PERSONAL DATA [1/1]

CODENAME:THE BOSS
SEX:FEMALE
AGE:UNKNOWN
NATIONALITY:U.S.A
BIRTHDATE:UNKNOWN
BIRTHPLACE:UNKNOWN
ADDRESS:UNKNOWN
","PERSONAL DATA [1/1]

CODENAME:THE BOSS
SEX:FEMALE
AGE:UNKNOWN
NATIONALITY:U.S.A
BIRTHDATE:UNKNOWN
BIRTHPLACE:UNKNOWN
ADDRESS:UNKNOWN
"
0xfe,"PERSONAL DATA [1/2]

CODENAME:THE BOSS
SEX:FEMALE
AGE:UNKNOWN
NATIONALITY:U.S.A
BIRTHDATE:UNKNOWN
BIRTHPLACE:UNKNOWN
ADDRESS:UNKNOWN
","PERSONAL DATA [1/2]

CODENAME:THE BOSS
SEX:FEMALE
AGE:UNKNOWN
NATIONALITY:U.S.A
BIRTHDATE:UNKNOWN
BIRTHPLACE:UNKNOWN
ADDRESS:UNKNOWN
"
0x184,"PERSONAL DATA [2/2]

HEIGHT:5% 10~
WEIGHT:UNKNOWN
HAIR:BROWNISH GREY
EYE:BLUE
VOICE:LORI ALAN
MTN ACTR:ERIKO HIRATA
BLOOD TYPE:UNKNOWN
","PERSONAL DATA [2/2]

HEIGHT:5% 10~
WEIGHT:UNKNOWN
HAIR:BROWNISH GREY
EYE:BLUE
VOICE:LORI ALAN
MTN ACTR:ERIKO HIRATA
BLOOD TYPE:UNKNOWN
"
0x20c,"Grabbing an enemy from behind and
holding your knife against his throat will
render him virtually powerless.
","Grabbing an enemy from behind and
holding your knife against his throat will
render him virtually powerless.
"
0x27a,"From this point, there are several things
you can do.
","From this point, there are several things
you can do.
"
0x2b1,"Press the CQC Button hard to slit
the enemy's throat with your knife.
","Press the CQC Button hard to slit
the enemy's throat with your knife.
"
0x2f8,"Move the left analog stick and press
the CQC Button to throw the enemy
to the ground.
","Move the left analog stick and press
the CQC Button to throw the enemy
to the ground.
"
0x34f,"Lightly tap the CQC Button rapidly to
choke the enemy.
","Lightly tap the CQC Button rapidly to
choke the enemy.
"
0x387,"You can use this to knock him out,
or even kill him if you do it long enough.
","You can use this to knock him out,
or even kill him if you do it long enough.
"
0x3d6,"By continuing to hold down the CQC
Button, you can move around while
keeping your grip on the enemy.
","By continuing to hold down the CQC
Button, you can move around while
keeping your grip on the enemy.
"
0x43c,"By pressing the Weapon Button, you can
aim your currently equipped weapon at
another enemy.
","By pressing the Weapon Button, you can
aim your currently equipped weapon at
another enemy.
"
0x499,"With their comrade acting as a human
shield, the enemy will be reluctant to
attack you.
","With their comrade acting as a human
shield, the enemy will be reluctant to
attack you.
"
0x4f2,"Press the  button to press
your knife against the enemy
and demand information.
","Press the  button to press
your knife against the enemy
and demand information.
"
0x546,"You'll be surprised at how much you can
learn this way.
","You'll be surprised at how much you can
learn this way.
"
0x57f,"But don't get too complacent.
","But don't get too complacent.
"
0x59e,"While your enemy may be powerless in
your grip, he'll use any opportunity he
can to counterattack.
","While your enemy may be powerless in
your grip, he'll use any opportunity he
can to counterattack.
"
0x602,"En attrapant un ennemi par derrière et en
appuyant ton couteau contre sa gorge, il sera
presque impuissant.
","En attrapant un ennemi par derrière et en
appuyant ton couteau contre sa gorge, il sera
presque impuissant.
"
0x670,"Dans cette position, plusieurs options s'offrent
à toi.
","Dans cette position, plusieurs options s'offrent
à toi.
"
0x6aa,"Appuie fort sur la touche CQC pour trancher la
gorge de ton ennemi avec ton couteau.
","Appuie fort sur la touche CQC pour trancher la
gorge de ton ennemi avec ton couteau.
"
0x700,"Déplace le joystick analogique gauche et
appuie sur la touche CQC pour jeter ton
adversaire au sol.
","Déplace le joystick analogique gauche et
appuie sur la touche CQC pour jeter ton
adversaire au sol.
"
0x766,"Appuie doucement et rapidement sur la touche
CQC pour étouffer ton ennemi.
","Appuie doucement et rapidement sur la touche
CQC pour étouffer ton ennemi.
"
0x7b3,"Tu pourras ainsi le mettre KO ou le tuer si tu
répète l'opération assez longtemps.
","Tu pourras ainsi le mettre KO ou le tuer si tu
répète l'opération assez longtemps.
"
0x80a,"En maintenant la touche CQC enfoncée, tu
pourras te déplacer tout en conservant ta prise
sur ton ennemi.
","En maintenant la touche CQC enfoncée, tu
pourras te déplacer tout en conservant ta prise
sur ton ennemi.
"
0x876,"En appuyant sur la touche Arme, tu pourras
viser un autre ennemi avec l'arme avec
laquelle tu es équipé.
","En appuyant sur la touche Arme, tu pourras
viser un autre ennemi avec l'arme avec
laquelle tu es équipé.
"
0x8e2,"Avec un ennemi comme bouclier humain, ses
camarades hésiteront à t'attaquer.
","Avec un ennemi comme bouclier humain, ses
camarades hésiteront à t'attaquer.
"
0x932,"Appuie sur la touche  pour appuyer le
couteau contre la gorge de ton ennemi et
obtenir des informations.
","Appuie sur la touche  pour appuyer le
couteau contre la gorge de ton ennemi et
obtenir des informations.
"
0x99f,"Parfois, tu seras étonné par ce que tu
apprends.
","Parfois, tu seras étonné par ce que tu
apprends.
"
0x9d3,"Mais reste sur tes gardes.
","Mais reste sur tes gardes.
"
0x9ef,"Si ton ennemi est impuissant entre tes mains,
il profitera de la première occasion pour
contre-attaquer.
","Si ton ennemi est impuissant entre tes mains,
il profitera de la première occasion pour
contre-attaquer.
"
