0x9c,"PERSONAL DATA [1/4]

CODENAME:SIGINT
SEX:MALE
AGE:24
NATIONALITY:U.S.A
BIRTHDATE:11/11/1939
BIRTHPLACE:NASHVILLE,TN.
ADDRESS:LANGLEY,VA.
","PERSONAL DATA [1/4]

CODENAME:SIGINT
SEX:MALE
AGE:24
NATIONALITY:U.S.A
BIRTHDATE:11/11/1939
BIRTHPLACE:NASHVILLE,TN.
ADDRESS:LANGLEY,VA.
"
0x126,"PERSONAL DATA [2/4]

HEIGHT:6% 5/8~
WEIGHT:171q
HAIR:BALD
EYE:BROWN
SKIN:BLACK
VOICE:JAMES MATHIS
EYESIGHT:20/16
","PERSONAL DATA [2/4]

HEIGHT:6% 5/8~
WEIGHT:171q
HAIR:BALD
EYE:BROWN
SKIN:BLACK
VOICE:JAMES MATHIS
EYESIGHT:20/16
"
0x198,"PERSONAL DATA [3/4]

BLOOD TYPE:O
PAST ILLNESSES:NONE
FAMILY:PARENTS,A SISTER
HOBBY:BASKETBALL
FVRT FOOD:BUFFALO WINGS
UNFVRT FOOD:FISH & CHIPS
MST INTRSTD TECH:COMPUTER
","PERSONAL DATA [3/4]

BLOOD TYPE:O
PAST ILLNESSES:NONE
FAMILY:PARENTS,A SISTER
HOBBY:BASKETBALL
FVRT FOOD:BUFFALO WINGS
UNFVRT FOOD:FISH & CHIPS
MST INTRSTD TECH:COMPUTER
"
0x243,"PERSONAL DATA [4/4]

FVRT ANIMAL:CAT
FVRT LIQUOR:BEER
FVRT UMA:SNOWMAN
FVRT UFO:ADAMSKI TYPE
PRIMARY INVNTNS:EZ GUN
NO. OF THIS YEAR'S WRRTN
APOLOGY:21
","PERSONAL DATA [4/4]

FVRT ANIMAL:CAT
FVRT LIQUOR:BEER
FVRT UMA:SNOWMAN
FVRT UFO:ADAMSKI TYPE
PRIMARY INVNTNS:EZ GUN
NO. OF THIS YEAR'S WRRTN
APOLOGY:21
"
0x2dc,"PERSONAL DATA [1/3]

CODENAME:SIGINT
SEX:MALE
AGE:24
NATIONALITY:U.S.A
BIRTHDATE:11/11/1939
BIRTHPLACE:NASHVILLE,TN.
ADDRESS:LANGLEY,VA.
","PERSONAL DATA [1/3]

CODENAME:SIGINT
SEX:MALE
AGE:24
NATIONALITY:U.S.A
BIRTHDATE:11/11/1939
BIRTHPLACE:NASHVILLE,TN.
ADDRESS:LANGLEY,VA.
"
0x366,"PERSONAL DATA [2/3]

HEIGHT:6% 5/8~
WEIGHT:171q
HAIR:BALD
EYE:BROWN
SKIN:BLACK
VOICE:JAMES MATHIS
EYESIGHT:20/16
","PERSONAL DATA [2/3]

HEIGHT:6% 5/8~
WEIGHT:171q
HAIR:BALD
EYE:BROWN
SKIN:BLACK
VOICE:JAMES MATHIS
EYESIGHT:20/16
"
0x3d8,"PERSONAL DATA [3/3]

BLOOD TYPE:O
PAST ILLNESSES:NONE
FAMILY:PARENTS,A SISTER
HOBBY:BASKETBALL
FVRT FOOD:BUFFALO WINGS
UNFVRT FOOD:FISH & CHIPS
MST INTRSTD TECH:COMPUTER
","PERSONAL DATA [3/3]

BLOOD TYPE:O
PAST ILLNESSES:NONE
FAMILY:PARENTS,A SISTER
HOBBY:BASKETBALL
FVRT FOOD:BUFFALO WINGS
UNFVRT FOOD:FISH & CHIPS
MST INTRSTD TECH:COMPUTER
"
0x483,"PERSONAL DATA [1/2]

CODENAME:SIGINT
SEX:MALE
AGE:24
NATIONALITY:U.S.A
BIRTHDATE:11/11/1939
BIRTHPLACE:NASHVILLE,TN.
ADDRESS:LANGLEY,VA.
","PERSONAL DATA [1/2]

CODENAME:SIGINT
SEX:MALE
AGE:24
NATIONALITY:U.S.A
BIRTHDATE:11/11/1939
BIRTHPLACE:NASHVILLE,TN.
ADDRESS:LANGLEY,VA.
"
0x50d,"PERSONAL DATA [2/2]

HEIGHT:6% 5/8~
WEIGHT:171q
HAIR:BALD
EYE:BROWN
SKIN:BLACK
VOICE:JAMES MATHIS
EYESIGHT:20/16
","PERSONAL DATA [2/2]

HEIGHT:6% 5/8~
WEIGHT:171q
HAIR:BALD
EYE:BROWN
SKIN:BLACK
VOICE:JAMES MATHIS
EYESIGHT:20/16
"
0x57f,"PERSONAL DATA [1/1]

CODENAME:SIGINT
SEX:MALE
AGE:24
NATIONALITY:U.S.A
BIRTHDATE:11/11/1939
BIRTHPLACE:NASHVILLE,TN.
ADDRESS:LANGLEY,VA.
","PERSONAL DATA [1/1]

CODENAME:SIGINT
SEX:MALE
AGE:24
NATIONALITY:U.S.A
BIRTHDATE:11/11/1939
BIRTHPLACE:NASHVILLE,TN.
ADDRESS:LANGLEY,VA.
"
0x609,"The weapon you've got equipped now is
a prototype model of the Mk22,
","The weapon you've got equipped now is
a prototype model of the Mk22,
"
0x64f,"a suppressor-equipped pistol currently
in development by the Navy.
","a suppressor-equipped pistol currently
in development by the Navy.
"
0x693,"It's been modified to act as a tranquilizer
gun.
","It's been modified to act as a tranquilizer
gun.
"
0x6c5,"The Mk22 is a heavily modified special ops
version of the M39 pistol used as a sidearm
by the SEALS.
","The Mk22 is a heavily modified special ops
version of the M39 pistol used as a sidearm
by the SEALS.
"
0x72b,"Probably the biggest change from the M39 is
that it's got a longer barrel, which allows it to
be equipped with a suppressor.
","Probably the biggest change from the M39 is
that it's got a longer barrel, which allows it to
be equipped with a suppressor.
"
0x7a9,"And it uses a slide-lock mechanism.
","And it uses a slide-lock mechanism.
"
0x7ce,"That makes it a lot quieter, but it also
means you have to load a new round into
the chamber by hand every time you fire.
","That makes it a lot quieter, but it also
means you have to load a new round into
the chamber by hand every time you fire.
"
0x849,"It's also fitted with tall adjustable sights, so
you can use the front and rear sights to line
up your shot even with a suppressor attached.
","It's also fitted with tall adjustable sights, so
you can use the front and rear sights to line
up your shot even with a suppressor attached.
"
0x8d7,"Looks like they got rid of the magazine
safety, too.
","Looks like they got rid of the magazine
safety, too.
"
0x90d,"Good eye. That feature wasn't too popular
with guys like you who know their guns.
","Good eye. That feature wasn't too popular
with guys like you who know their guns.
"
0x960,"The shear release lever's been taken off as
well, meaning the hammer won't fall even
with the safety on.
","The shear release lever's been taken off as
well, meaning the hammer won't fall even
with the safety on.
"
0x9ca,"So I can just cock and lock?
","So I can just cock and lock?
"
0x9e8,"That and you get the added bonus of not
having any mechanical noise from decocking,
even with the safety on.
","That and you get the added bonus of not
having any mechanical noise from decocking,
even with the safety on.
"
0xa56,"The perfect pistol for a sneaking mission,
huh.
","The perfect pistol for a sneaking mission,
huh.
"
0xa87,"L'arme dont tu es équipé actuellement est un
prototype du MK-22,
","L'arme dont tu es équipé actuellement est un
prototype du MK-22,
"
0xacb,"un pistolet à silencieux en train d'être
développé par la Navy.
","un pistolet à silencieux en train d'être
développé par la Navy.
"
0xb10,"Ils le modifient pour le transformer en pistolet
tranquillisant.
","Ils le modifient pour le transformer en pistolet
tranquillisant.
"
