Start Time,End Time,Lang ID,Text
0,989,[ENG],"...This tea is not hot|enough, Sokolov..."
0,989,[FRE],"... Ce thé n'est pas assez
chaud, Sokolov..."
0,989,[GER],"... Dieser Tee ist nicht heiß
genug, Sokolov ..."
0,989,[ITA],"...Questo tè non è
abbastanza caldo, Sokolov..."
0,989,[SPA],"...Este té no está caliente,
Sokolov..."
1030,1838,[ENG],...now go clean the toilets...
1030,1838,[FRE],"... maintenant, allez nettoyer
les toilettes..."
1030,1838,[GER],"... Jetzt putzen Sie die
Toiletten ..."
1030,1838,[ITA],ora vai a pulire i cessi...
1030,1838,[SPA],ve a limpiar los baños...
1880,2938,[ENG],...get out of my sight...zzz.
1880,2938,[FRE],"... que je ne vous voie plus...
zzz."
1880,2938,[GER],"... Gehen Sie mir aus den
Augen ... zzz."
1880,2938,[ITA],sparisci...zzz.
1880,2938,[SPA],fuera de mi vista... zzz.
