0xa8,"PERSONAL DATA [1/4]

CODENAME:MAJOR TOM
SEX:MALE
AGE:55
NATIONALITY:U.K
BIRTHDATE:8/12/1909
BIRTHPLACE:EXETER,ENG.
ADDRESS:PORTSMOUTH,NH.
","PERSONAL DATA [1/4]

CODENAME:MAJOR TOM
SEX:MALE
AGE:55
NATIONALITY:U.K
BIRTHDATE:8/12/1909
BIRTHPLACE:EXETER,ENG.
ADDRESS:PORTSMOUTH,NH.
"
0x133,"PERSONAL DATA [1/4]

CODENAME:MAJOR ZERO
SEX:MALE
AGE:55
NATIONALITY:U.K
BIRTHDATE:8/12/1909
BIRTHPLACE:EXETER,ENG.
ADDRESS:PORTSMOUTH,NH.
","PERSONAL DATA [1/4]

CODENAME:MAJOR ZERO
SEX:MALE
AGE:55
NATIONALITY:U.K
BIRTHDATE:8/12/1909
BIRTHPLACE:EXETER,ENG.
ADDRESS:PORTSMOUTH,NH.
"
0x1bf,"PERSONAL DATA [2/4]

HEIGHT:6% 5/8~
WEIGHT:174q
HAIR:GREY
EYE:GREYISH BLUE
SKIN:WHITE
VOICE:JIM PIDDOCK
MTN ACTR:TAKASHI KUBO
","PERSONAL DATA [2/4]

HEIGHT:6% 5/8~
WEIGHT:174q
HAIR:GREY
EYE:GREYISH BLUE
SKIN:WHITE
VOICE:JIM PIDDOCK
MTN ACTR:TAKASHI KUBO
"
0x23e,"PERSONAL DATA [3/4]

EYESIGHT:20/13
BLOOD TYPE:A
PAST ILLNESSES:GOUT
FAMILY:PARENTS,A SISTER
HOBBY:MOVIE,HUNTING
FVRT FOOD:SHEPHERD'S PIE
UNFVRT FOOD:HAMBURGER
","PERSONAL DATA [3/4]

EYESIGHT:20/13
BLOOD TYPE:A
PAST ILLNESSES:GOUT
FAMILY:PARENTS,A SISTER
HOBBY:MOVIE,HUNTING
FVRT FOOD:SHEPHERD'S PIE
UNFVRT FOOD:HAMBURGER
"
0x2df,"PERSONAL DATA [4/4]

FVRT MOVIE:SPY/WAR MOVIE
FVRT ANIMAL:HORSE
FVRT LIQUOR:WHISKEY
FVRT SPORT:RUGBY
FVRT TEA:DIMBULA
FVRT UMA:NESSIE
MOTTO:WHO DARES WINS
","PERSONAL DATA [4/4]

FVRT MOVIE:SPY/WAR MOVIE
FVRT ANIMAL:HORSE
FVRT LIQUOR:WHISKEY
FVRT SPORT:RUGBY
FVRT TEA:DIMBULA
FVRT UMA:NESSIE
MOTTO:WHO DARES WINS
"
0x37b,"PERSONAL DATA [1/3]

CODENAME:MAJOR TOM
SEX:MALE
AGE:55
NATIONALITY:U.K
BIRTHDATE:8/12/1909
BIRTHPLACE:EXETER,ENG.
ADDRESS:PORTSMOUTH,NH.
","PERSONAL DATA [1/3]

CODENAME:MAJOR TOM
SEX:MALE
AGE:55
NATIONALITY:U.K
BIRTHDATE:8/12/1909
BIRTHPLACE:EXETER,ENG.
ADDRESS:PORTSMOUTH,NH.
"
0x406,"PERSONAL DATA [1/3]

CODENAME:MAJOR ZERO
SEX:MALE
AGE:55
NATIONALITY:U.K
BIRTHDATE:8/12/1909
BIRTHPLACE:EXETER,ENG.
ADDRESS:PORTSMOUTH,NH.
","PERSONAL DATA [1/3]

CODENAME:MAJOR ZERO
SEX:MALE
AGE:55
NATIONALITY:U.K
BIRTHDATE:8/12/1909
BIRTHPLACE:EXETER,ENG.
ADDRESS:PORTSMOUTH,NH.
"
0x492,"PERSONAL DATA [2/3]

HEIGHT:6% 5/8~
WEIGHT:174q
HAIR:GREY
EYE:GREYISH BLUE
SKIN:WHITE
VOICE:JIM PIDDOCK
MTN ACTR:TAKASHI KUBO
","PERSONAL DATA [2/3]

HEIGHT:6% 5/8~
WEIGHT:174q
HAIR:GREY
EYE:GREYISH BLUE
SKIN:WHITE
VOICE:JIM PIDDOCK
MTN ACTR:TAKASHI KUBO
"
0x511,"PERSONAL DATA [3/3]

EYESIGHT:20/13
BLOOD TYPE:A
PAST ILLNESSES:GOUT
FAMILY:PARENTS,A SISTER
HOBBY:MOVIE,HUNTING
FVRT FOOD:SHEPHERD'S PIE
UNFVRT FOOD:HAMBURGER
","PERSONAL DATA [3/3]

EYESIGHT:20/13
BLOOD TYPE:A
PAST ILLNESSES:GOUT
FAMILY:PARENTS,A SISTER
HOBBY:MOVIE,HUNTING
FVRT FOOD:SHEPHERD'S PIE
UNFVRT FOOD:HAMBURGER
"
0x5b2,"PERSONAL DATA [1/2]

CODENAME:MAJOR TOM
SEX:MALE
AGE:55
NATIONALITY:U.K
BIRTHDATE:8/12/1909
BIRTHPLACE:EXETER,ENG.
ADDRESS:PORTSMOUTH,NH.
","PERSONAL DATA [1/2]

CODENAME:MAJOR TOM
SEX:MALE
AGE:55
NATIONALITY:U.K
BIRTHDATE:8/12/1909
BIRTHPLACE:EXETER,ENG.
ADDRESS:PORTSMOUTH,NH.
"
0x63d,"PERSONAL DATA [1/2]

CODENAME:MAJOR ZERO
SEX:MALE
AGE:55
NATIONALITY:U.K
BIRTHDATE:8/12/1909
BIRTHPLACE:EXETER,ENG.
ADDRESS:PORTSMOUTH,NH.
","PERSONAL DATA [1/2]

CODENAME:MAJOR ZERO
SEX:MALE
AGE:55
NATIONALITY:U.K
BIRTHDATE:8/12/1909
BIRTHPLACE:EXETER,ENG.
ADDRESS:PORTSMOUTH,NH.
"
0x6c9,"PERSONAL DATA [2/2]

HEIGHT:6% 5/8~
WEIGHT:174q
HAIR:GREY
EYE:GREYISH BLUE
SKIN:WHITE
VOICE:JIM PIDDOCK
MTN ACTR:TAKASHI KUBO
","PERSONAL DATA [2/2]

HEIGHT:6% 5/8~
WEIGHT:174q
HAIR:GREY
EYE:GREYISH BLUE
SKIN:WHITE
VOICE:JIM PIDDOCK
MTN ACTR:TAKASHI KUBO
"
0x748,"PERSONAL DATA [1/1]

CODENAME:MAJOR TOM
SEX:MALE
AGE:55
NATIONALITY:U.K
BIRTHDATE:8/12/1909
BIRTHPLACE:EXETER,ENG.
ADDRESS:PORTSMOUTH,NH.
","PERSONAL DATA [1/1]

CODENAME:MAJOR TOM
SEX:MALE
AGE:55
NATIONALITY:U.K
BIRTHDATE:8/12/1909
BIRTHPLACE:EXETER,ENG.
ADDRESS:PORTSMOUTH,NH.
"
0x7d3,"PERSONAL DATA [1/1]

CODENAME:MAJOR ZERO
SEX:MALE
AGE:55
NATIONALITY:U.K
BIRTHDATE:8/12/1909
BIRTHPLACE:EXETER,ENG.
ADDRESS:PORTSMOUTH,NH.
","PERSONAL DATA [1/1]

CODENAME:MAJOR ZERO
SEX:MALE
AGE:55
NATIONALITY:U.K
BIRTHDATE:8/12/1909
BIRTHPLACE:EXETER,ENG.
ADDRESS:PORTSMOUTH,NH.
"
0x85f,"¿Me recibes? Ya estás en territorio enemigo
y puede que nos estén escuchando.
","¿Me recibes? Ya estás en territorio enemigo
y puede que nos estén escuchando.
"
0x8b1,"A partir de ahora, utilizaremos nombres en
clave.
","A partir de ahora, utilizaremos nombres en
clave.
"
0x8e4,"Tu nombre en clave para esta misión será
Naked Snake. A partir de ahora, te llamaré
Snake.
","Tu nombre en clave para esta misión será
Naked Snake. A partir de ahora, te llamaré
Snake.
"
0x943,"No mencionarás nunca tu nombre real.
","No mencionarás nunca tu nombre real.
"
0x96a,"¿Snake?
","¿Snake?
"
0x974,"¿No te gustan las serpientes (snakes)?
","¿No te gustan las serpientes (snakes)?
"
0x99d,"¿Qué quieres decir?
","¿Qué quieres decir?
"
0x9b4,"Ya las has probado, ¿no?
","Ya las has probado, ¿no?
"
0x9cf,"Sí, en un entrenamiento de supervivencia.
","Sí, en un entrenamiento de supervivencia.
"
0x9fb,"Me alegra saberlo.
","Me alegra saberlo.
"
0xa0f,"No sé si alguna vez pediría una en un
restaurante, pero...
","No sé si alguna vez pediría una en un
restaurante, pero...
"
0xa4d,"Ten cuidado, o puede que no vuelvas a pisar
un restaurante.
","Ten cuidado, o puede que no vuelvas a pisar
un restaurante.
"
0xa8a,"¿Y tú, Major? ¿Cómo debería llamarte?
","¿Y tú, Major? ¿Cómo debería llamarte?
"
0xab6,"Hmm, veamos... yo seré...
","Hmm, veamos... yo seré...
"
0xad2,"Tom. Llámame Major Tom.
","Tom. Llámame Major Tom.
"
0xaec,"Ésta será una misión de infiltración.
","Ésta será una misión de infiltración.
"
0xb17,"El enemigo no debe descubrirte. No debes
dejar ninguna huella de tu presencia.
¿Entendido?
","El enemigo no debe descubrirte. No debes
dejar ninguna huella de tu presencia.
¿Entendido?
"
0xb74,"Este tipo de infiltración, es la especialidad de
la unidad FOX.
","Este tipo de infiltración, es la especialidad de
la unidad FOX.
"
0xbb6,"En otras palabras, tienes que conseguir las
armas y el equipamiento allí... y lo mismo
ocurre con la comida.
","En otras palabras, tienes que conseguir las
armas y el equipamiento allí... y lo mismo
ocurre con la comida.
"
0xc25,"Estás totalmente desnudo, como tu propio
nombre indica (naked).
","Estás totalmente desnudo, como tu propio
nombre indica (naked).
"
0xc67,"Bien. Ahora ya entiendo por qué me
preguntaste si me gustan las serpientes.
","Bien. Ahora ya entiendo por qué me
preguntaste si me gustan las serpientes.
"
0xcb5,"Y lo del nombre ""Snake"", también va con
sorna, ¿no?
","Y lo del nombre ""Snake"", también va con
sorna, ¿no?
"
0xcec,"No, lo elegimos por una buen razón. Ya te lo
contaré luego, en el momento adecuado.
","No, lo elegimos por una buen razón. Ya te lo
contaré luego, en el momento adecuado.
"
0xd43,"Entendido. Y volviendo a lo de antes, ¿qué
voy a comer?
","Entendido. Y volviendo a lo de antes, ¿qué
voy a comer?
"
0xd7e,"Tienes un cuchillo y una pistola con balas
tranquilizadoras. Utilízalos para procurarte
alimento.
","Tienes un cuchillo y una pistola con balas
tranquilizadoras. Utilízalos para procurarte
alimento.
"
0xde2,"En tu mochila, también hay medicamentos.
","En tu mochila, también hay medicamentos.
"
0xe0d,"Sí, ah la mochila... al caer se me enganchó en
la rama de un árbol.
","Sí, ah la mochila... al caer se me enganchó en
la rama de un árbol.
"
